HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.claimHeadline1,Input.articleHeadline1,Input.articleCount1,Input.articleHeadlineStance1,Input.claimHeadline2,Input.articleHeadline2,Input.articleCount2,Input.articleHeadlineStance2,Input.claimHeadline3,Input.articleHeadline3,Input.articleCount3,Input.articleHeadlineStance3,Input.claimHeadline4,Input.articleHeadline4,Input.articleCount4,Input.articleHeadlineStance4,Input.claimHeadline5,Input.articleHeadline5,Input.articleCount5,Input.articleHeadlineStance5,Answer.explain1,Answer.explain2,Answer.explain3,Answer.explain4,Answer.explain5,Answer.stance1,Answer.stance2,Answer.stance3,Answer.stance4,Answer.stance5,Answer.user_feedback,Approve,Reject
3J6BHNX0U903J6LLNDDN7L9HH97KN3,3HZ4869E6XTKRE919IFYPCIRR0L5NN,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 07:41:57 PDT 2017,5,BatchId:2793517;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 07:41:57 PDT 2017,,,38F71OA9GU4P8M6103CS2DNZP44MFR,A135,Submitted,Sat May 06 08:54:36 PDT 2017,Sat May 06 08:56:16 PDT 2017,Sun May 07 08:56:16 PDT 2017,,,,100,100% (27/27),100% (27/27),100% (27/27),11 commercial aircraft went missing from the Tripoli airport,Nearly a Dozen Commercial Airliners Missing Ahead of 911 Anniversary After Islamists Overrun Libyan Airport,2101.0,observing,11 commercial aircraft went missing from the Tripoli airport,What Glenn Beck Fears May Be Done With the 11 Missing Jets,2102.0,for,11 commercial aircraft went missing from the Tripoli airport,Reports of missing Libyan planes raise 911 terror fears,2103.0,observing,11 commercial aircraft went missing from the Tripoli airport,Missing Libyan jetliners raise fears of terror attacks on 911,2104.0,for,11 commercial aircraft went missing from the Tripoli airport,11 jetliners missing after Islamist takeover of airport,2105.0,observing,Islamists Overrun Libyan Airport,Glenn Beck Fears,missing Libyan planes,terror attacks,Islamist takeover,Observing,Observing,For,Against,Observing,{},,
3J6BHNX0U903J6LLNDDN7L9HH97KN3,3HZ4869E6XTKRE919IFYPCIRR0L5NN,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 07:41:57 PDT 2017,5,BatchId:2793517;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 07:41:57 PDT 2017,,,3AUQQEL7U61H15LKBDUYM2J8AVP0VG,A100,Submitted,Sat May 06 07:56:09 PDT 2017,Sat May 06 07:59:42 PDT 2017,Sun May 07 07:59:42 PDT 2017,,,,213,100% (99/99),100% (99/99),100% (32/32),11 commercial aircraft went missing from the Tripoli airport,Nearly a Dozen Commercial Airliners Missing Ahead of 911 Anniversary After Islamists Overrun Libyan Airport,2101.0,observing,11 commercial aircraft went missing from the Tripoli airport,What Glenn Beck Fears May Be Done With the 11 Missing Jets,2102.0,for,11 commercial aircraft went missing from the Tripoli airport,Reports of missing Libyan planes raise 911 terror fears,2103.0,observing,11 commercial aircraft went missing from the Tripoli airport,Missing Libyan jetliners raise fears of terror attacks on 911,2104.0,for,11 commercial aircraft went missing from the Tripoli airport,11 jetliners missing after Islamist takeover of airport,2105.0,observing,911,11,911,911,11,Against,Observing,For,Against,For,{},,
3J6BHNX0U903J6LLNDDN7L9HH97KN3,3HZ4869E6XTKRE919IFYPCIRR0L5NN,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 07:41:57 PDT 2017,5,BatchId:2793517;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 07:41:57 PDT 2017,,,3ERMJ6L4DZ0CTTRVIKEGELAIRGJM7L,A152,Submitted,Sat May 06 08:04:29 PDT 2017,Sat May 06 08:07:13 PDT 2017,Sun May 07 08:07:13 PDT 2017,,,,164,0% (0/0),0% (0/0),0% (0/0),11 commercial aircraft went missing from the Tripoli airport,Nearly a Dozen Commercial Airliners Missing Ahead of 911 Anniversary After Islamists Overrun Libyan Airport,2101.0,observing,11 commercial aircraft went missing from the Tripoli airport,What Glenn Beck Fears May Be Done With the 11 Missing Jets,2102.0,for,11 commercial aircraft went missing from the Tripoli airport,Reports of missing Libyan planes raise 911 terror fears,2103.0,observing,11 commercial aircraft went missing from the Tripoli airport,Missing Libyan jetliners raise fears of terror attacks on 911,2104.0,for,11 commercial aircraft went missing from the Tripoli airport,11 jetliners missing after Islamist takeover of airport,2105.0,observing,probably confirms,confirms,confirms,confirms,confirms,For,For,For,For,For,{},,
3J6BHNX0U903J6LLNDDN7L9HH97KN3,3HZ4869E6XTKRE919IFYPCIRR0L5NN,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 07:41:57 PDT 2017,5,BatchId:2793517;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 07:41:57 PDT 2017,,,3IKZ72A5B5OVQ4R1C4RSFSCZUUCNFQ,A198,Submitted,Sat May 06 08:08:41 PDT 2017,Sat May 06 08:09:31 PDT 2017,Sun May 07 08:09:31 PDT 2017,,,,50,100% (14/14),0% (0/0),0% (0/0),11 commercial aircraft went missing from the Tripoli airport,Nearly a Dozen Commercial Airliners Missing Ahead of 911 Anniversary After Islamists Overrun Libyan Airport,2101.0,observing,11 commercial aircraft went missing from the Tripoli airport,What Glenn Beck Fears May Be Done With the 11 Missing Jets,2102.0,for,11 commercial aircraft went missing from the Tripoli airport,Reports of missing Libyan planes raise 911 terror fears,2103.0,observing,11 commercial aircraft went missing from the Tripoli airport,Missing Libyan jetliners raise fears of terror attacks on 911,2104.0,for,11 commercial aircraft went missing from the Tripoli airport,11 jetliners missing after Islamist takeover of airport,2105.0,observing,Missing,May Be Done,missing,Missing,missing,For,Observing,For,For,For,{},,
3J6BHNX0U903J6LLNDDN7L9HH97KN3,3HZ4869E6XTKRE919IFYPCIRR0L5NN,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 07:41:57 PDT 2017,5,BatchId:2793517;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 07:41:57 PDT 2017,,,3QILPRALQ63MBPHE4QLM50VD7Q0N8A,A60,Submitted,Sat May 06 08:21:35 PDT 2017,Sat May 06 08:22:22 PDT 2017,Sun May 07 08:22:22 PDT 2017,,,,47,100% (29/29),100% (29/29),100% (28/28),11 commercial aircraft went missing from the Tripoli airport,Nearly a Dozen Commercial Airliners Missing Ahead of 911 Anniversary After Islamists Overrun Libyan Airport,2101.0,observing,11 commercial aircraft went missing from the Tripoli airport,What Glenn Beck Fears May Be Done With the 11 Missing Jets,2102.0,for,11 commercial aircraft went missing from the Tripoli airport,Reports of missing Libyan planes raise 911 terror fears,2103.0,observing,11 commercial aircraft went missing from the Tripoli airport,Missing Libyan jetliners raise fears of terror attacks on 911,2104.0,for,11 commercial aircraft went missing from the Tripoli airport,11 jetliners missing after Islamist takeover of airport,2105.0,observing,supports it,supports it,supports it,supports it,supports it,For,For,For,For,For,{},,
3OYHVNTV5T6L1RLXOSD0MA9M7JCKOI,3HZ4869E6XTKRE919IFYPCIRR0L5NN,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 07:41:57 PDT 2017,5,BatchId:2793517;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 07:41:57 PDT 2017,,,324G5B4FB4GFQFKOTFRIGO35ODI70V,A224,Submitted,Sat May 06 08:04:11 PDT 2017,Sat May 06 08:05:17 PDT 2017,Sun May 07 08:05:17 PDT 2017,,,,66,100% (2/2),100% (1/1),0% (0/0),Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,Egypt's President denies offering land to Palestinians,2106.0,against,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,El-Sisi denies claims he'll give Sinai land to Palestinians,2107.0,against,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,The Greater Gaza Plan: Is Israel trying to force Palestinians into Sinai?,2108.0,observing,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,Israeli Sisi offered Abbas a Palestinian state in Sinai,2109.0,observing,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,Israeli right welcomes Sisi's offer to a Palestinian State in Sinai,2110.0,for,denies,denies,? (the question mark),offered,offer,Against,Against,Observing,For,For,{},,
3OYHVNTV5T6L1RLXOSD0MA9M7JCKOI,3HZ4869E6XTKRE919IFYPCIRR0L5NN,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 07:41:57 PDT 2017,5,BatchId:2793517;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 07:41:57 PDT 2017,,,32M8BPYGAUU9Q3C5Q8KIS5GU9AJIG5,A152,Submitted,Sat May 06 08:20:26 PDT 2017,Sat May 06 08:23:07 PDT 2017,Sun May 07 08:23:07 PDT 2017,,,,161,0% (0/0),0% (0/0),0% (0/0),Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,Egypt's President denies offering land to Palestinians,2106.0,against,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,El-Sisi denies claims he'll give Sinai land to Palestinians,2107.0,against,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,The Greater Gaza Plan: Is Israel trying to force Palestinians into Sinai?,2108.0,observing,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,Israeli Sisi offered Abbas a Palestinian state in Sinai,2109.0,observing,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,Israeli right welcomes Sisi's offer to a Palestinian State in Sinai,2110.0,for,denies,denies,Is Israel trying,Israeli Sisi is not al-Sisi,confirms,Against,Against,Against,Against,For,{},,
3OYHVNTV5T6L1RLXOSD0MA9M7JCKOI,3HZ4869E6XTKRE919IFYPCIRR0L5NN,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 07:41:57 PDT 2017,5,BatchId:2793517;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 07:41:57 PDT 2017,,,3EJPLAJKENOTO0C9EZZIG96VB9IZ6H,A100,Submitted,Sat May 06 08:44:31 PDT 2017,Sat May 06 08:48:39 PDT 2017,Sun May 07 08:48:39 PDT 2017,,,,248,100% (99/99),100% (99/99),100% (32/32),Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,Egypt's President denies offering land to Palestinians,2106.0,against,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,El-Sisi denies claims he'll give Sinai land to Palestinians,2107.0,against,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,The Greater Gaza Plan: Is Israel trying to force Palestinians into Sinai?,2108.0,observing,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,Israeli Sisi offered Abbas a Palestinian state in Sinai,2109.0,observing,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,Israeli right welcomes Sisi's offer to a Palestinian State in Sinai,2110.0,for,denies offering land to Palestinians,Palestinians,force,offered,right welcomes Sisi's offer,Against,For,Observing,For,For,{},,
3OYHVNTV5T6L1RLXOSD0MA9M7JCKOI,3HZ4869E6XTKRE919IFYPCIRR0L5NN,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 07:41:57 PDT 2017,5,BatchId:2793517;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 07:41:57 PDT 2017,,,3R2PKQ87NXG9ID8R1BID5A0R5WVIMD,A133,Submitted,Sat May 06 08:21:15 PDT 2017,Sat May 06 08:33:44 PDT 2017,Sun May 07 08:33:44 PDT 2017,,,,749,0% (0/0),0% (0/0),0% (0/0),Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,Egypt's President denies offering land to Palestinians,2106.0,against,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,El-Sisi denies claims he'll give Sinai land to Palestinians,2107.0,against,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,The Greater Gaza Plan: Is Israel trying to force Palestinians into Sinai?,2108.0,observing,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,Israeli Sisi offered Abbas a Palestinian state in Sinai,2109.0,observing,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,Israeli right welcomes Sisi's offer to a Palestinian State in Sinai,2110.0,for,denies,denies,Israel trying to force,Israeli Sisi offered,welcomes Sisi's offer,Against,Against,Observing,Observing,For,{},,
3OYHVNTV5T6L1RLXOSD0MA9M7JCKOI,3HZ4869E6XTKRE919IFYPCIRR0L5NN,Fact Checking,"Given a claim and some news headlines, label each headline as for/against/observing and explain","news, fact-check",$0.10,Sat May 06 07:41:57 PDT 2017,5,BatchId:2793517;OriginalHitTemplateId:926051491;,1200,86400,Sun May 07 07:41:57 PDT 2017,,,3WRFBPLXRBW0ASB8S9QQEJN2R47N3H,A198,Submitted,Sat May 06 08:07:29 PDT 2017,Sat May 06 08:08:40 PDT 2017,Sun May 07 08:08:40 PDT 2017,,,,71,100% (14/14),0% (0/0),0% (0/0),Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,Egypt's President denies offering land to Palestinians,2106.0,against,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,El-Sisi denies claims he'll give Sinai land to Palestinians,2107.0,against,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,The Greater Gaza Plan: Is Israel trying to force Palestinians into Sinai?,2108.0,observing,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,Israeli Sisi offered Abbas a Palestinian state in Sinai,2109.0,observing,Egyptian President al-Sisi proposed expanding the Gaza Strip through Sinai land,Israeli right welcomes Sisi's offer to a Palestinian State in Sinai,2110.0,for,denies,denies,trying,offered,welcomes,Against,Against,Observing,Observing,For,{},,
